Cva_ID;Cva_APG_Family;Cva_Genus;Cva_Species;Cva_Common_Name;Cva_Authority;Cva_Chromosome_Nr;Cva_PloidyLevel;Cva_Estimation_Method;Cva_Voucher;Cva_2C_PG;Cva_Original_Reference;Cva_Lifecycle;Cva_Angiosperm_Group;Cva_Paper;Cva_IS;Cva_Remarks;Cva_Order_Nr;Cva_CompanyCode;Cva_Cropcode;Cva_Date_Created;Cva_Date_ Modified;Cva_EmpName_Created;Cva_EmpName_Modified;Cva_ID_Genus;Cva_Cultivar;Cva_AnO;Cva_PlantCode;Cva_BreedingCode;Cva_Status;Cva_zzz
8493;Annonaceae;Annona;reticulata;;L.;14;2;Fe;N;2.65;Ohri and Kumar; 1986 (Ref. 185);P;Basal Angiosperm;0;;1986;0;;;9-2-2013;31-12-2015;Import;Designer;111;;;;;
8494;Poaceae;Cenchrus;ciliaris;;L.;0;0;Fe;;2.65;Bennett and Smith; 1976 (Ref. 2);P;Monocot;0;;1976;0;;;9-2-2013;2-1-2016;Import;Designer;1921;;;;;
8495;Poaceae;Echinochloa;frumentacea;;Link;0;0;Fe;;2.65;Bennett and Smith; 1976 (Ref. 2);A;Monocot;0;;1976;0;;;9-2-2013;2-1-2016;Import;Designer;1922;;;;;
8496;Asteraceae;Senecio;leucanthemifolius;;Poir.;20;2;Fe;;2.65;Bennett and Smith; 1976 (Ref. 2);A;Eudicot;0;;1976;0;;;9-2-2013;31-12-2015;Import;Designer;336;;;;;
8497;Polygonaceae;Fallopia;sachalinensis;;(F.Schmidt ex Maxim.) Ronse Decr.;44;4;Fe;N;2.65;Bailey and Stace; 1992 (Ref. 213);P;Eudicot;0;;1992;0;;;9-2-2013;31-12-2015;Import;Designer;1107;;;;;
8498;Iridaceae;Hesperoxiphion;herrerae;;(Diels ex R.C. Fost.) Ravenna;14;2;Fe;Y;2.65;Kenton et al.; 1990 (Ref. 268);P;Monocot;0;;1990;0;;;9-2-2013;31-12-2015;Import;Designer;735;;;;;
8499;Fabaceae;Melilotus;alba;;Medik.;16;2;Fe;N;2.65;Kenton and Bennett; 1990 (Ref. 269-G);A-;Eudicot;0;;1990;0;;;9-2-2013;2-1-2016;Import;Designer;1856;;;;;
8500;Arecaceae;Phoenix;theophrasti;;Greuter;36;2;Fe;Y;2.65;;P;Monocot;0;;1997;0;;699;;31-12-2015;;Designer;558;;;;;;[object Object]
8501;Fabaceae;Cicer;reticulatum;;Ladiz.;16;2;Fe;N;2.65;Galasso et al.; 1996 (Ref. 277);A;Eudicot;0;;1996;0;;;9-2-2013;31-12-2015;Import;Designer;1043;;;;;
8502;Fabaceae;Acacia;salicina;;Lindl.;26;2;Fe;N;2.65;Mukerjee and Sharma; 1993 (Ref. 289);P;Eudicot;0;;1993;0;;;9-2-2013;31-12-2015;Import;Designer;505;;;;;
8503;Fabaceae;Acacia;gerrardi;;Benth.;52;4;Fe;N;2.65;Mukerjee and Sharma; 1993 (Ref. 289);P;Eudicot;0;;1993;0;;;9-2-2013;31-12-2015;Import;Designer;505;;;;;
8504;Fabaceae;Lotus;requienii;;Mauri;14;2;Fe;;2.65;Borsos; 1973 (Ref. 51);;Eudicot;0;;1973;0;;253;9-2-2013;31-12-2015;Import;Designer;238;;;;;
8505;Asteraceae;Onopordum;acanthium;;L.;34;2;Fe;;2.65;Barlow; 1981 (Ref. 58);B;Eudicot;0;;1981;0;;;9-2-2013;2-1-2016;Import;Designer;1923;;;;;
8506;Balsaminaceae;Impatiens;balsamina;;L.;14;2;Ch;;2.65;Van't Hof; 1965 (Ref. 6);P;Eudicot;0;;1965;0;;99;9-2-2013;31-12-2015;Import;Designer;202;;;;;
8507;Tropaeolaceae;Tropaeolum;majus;;L.;28;4;Fe;;2.65;Nagl; 1976 (Ref. 85);A;Eudicot;0;;1976;0;;467;9-2-2013;2-1-2016;Import;Designer;360;;;;;
8508;Rosaceae;Crataegus;douglasii;;Lindl.;0;0;FC:PI;Y;2.65;Telent & Dickinson; 2005 (Ref. 527);P;Eudicot;0;;2005;0;;;9-2-2013;31-12-2015;Import;Designer;1064;;;;;
8509;Asteraceae;Carthamus;persicus;;Desf. ex Willd.;24;2;FC:PI;Y;2.65;Garnatje et al.; 2006 (Ref. 536);A;Eudicot;0;;2006;0;;;9-2-2013;31-12-2015;Import;Designer;1024;;;;;
8510;Amaranthaceae;Chenopodium;opulifolium;;Schrad. ex Koch & Ziz;36;4;Fe;Y;2.66;Ohri; 2002 (Ref. 455);A;Eudicot;0;;2002;0;;;9-2-2013;31-12-2015;Import;Designer;1039;;;;;
8511;Asteraceae;Tolpis;laciniata;;(Sch. Bip. ex Webb & Berth.) Webb;18;2;FC:PI;;2.66;Suda et al.; 2003 (Ref. 477);P;Eudicot;0;;2003;0;;;9-2-2013;2-1-2016;Import;Designer;1924;;;;;
8512;Poaceae;Oryza;ridleyi;;Hook.f.;48;4;FC:PI;Y;2.66;Ammiraju et al.; 2006 (Ref. 545);P;Monocot;0;;2006;0;;689;9-2-2013;31-12-2015;Import;Designer;983;;;;;
8513;Poaceae;Digitaria;lecardii;;(Pilg.) Stapf;0;0;FC:PI;Y;2.66;Adoukonou-Sagbadja et al.; 2007 (Ref. 556);A;Monocot;0;;2007;0;;;9-2-2013;2-1-2016;Import;Designer;1657;;;;;
8514;Pedaliaceae;Sesamum;radiatum;;Schumach.;64;8;Fe;Y;2.67;Hiremath et al.; 2001 (Ref. 446);A;Eudicot;0;;2001;0;;;9-2-2013;2-1-2016;Import;Designer;1616;;;;;
8515;Brassicaceae;Cardamine;asarifolia;;L.;48;6;FC:PI;Y;2.67;Lihova et al.; 2006 (Ref. 537);P;Eudicot;0;;2006;0;;;9-2-2013;2-1-2016;Import;Designer;1489;;;;;
8516;Fabaceae;Erythrina;blakei;;(Hort.) Parker;42;2;Fe;N;2.68;Ohri et al.; 2004 (Ref. 501);P;Eudicot;0;;2004;0;;557;9-2-2013;2-1-2016;Import;Designer;142;;;;;
8517;Malvaceae;Gossypium;longicalyx;;J.B.Hutch & B.J.S.Lee;26;2;FC:PI;N;2.68;Hendrix & Stewart; 2005 (Ref. 471);P;Eudicot;0;;2005;0;;271;9-2-2013;31-12-2015;Import;Designer;883;;;;;
8518;Fabaceae;Lupinus;albicaulis;;Dougl. ex Hook.;48;0;FC:PI;N;2.68;Naganowska et al.; 2006 (Ref. 524);P;Eudicot;0;;2006;0;;241;9-2-2013;31-12-2015;Import;Designer;799;;;;;
8519;Rosaceae;Crataegus;triflora;;Chapm.;0;4;FC:PI;Y;2.68;Telent & Dickinson; 2005 (Ref. 527);P;Eudicot;0;;2005;0;;;9-2-2013;31-12-2015;Import;Designer;1064;;;;;
8520;Rosaceae;Amelanchier;alnifolia;;Nutt.;0;4;FC:PI;Y;2.68;Telent & Dickinson; 2005 (Ref. 527);P;Eudicot;0;;2005;0;;;9-2-2013;31-12-2015;Import;Designer;890;;;;;
8521;Caryophyllaceae;Paronychia;canariensis;;(L.f.) Juss.;32;4;FC:PI;;2.68;Suda et al.; 2003 (Ref. 477);P;Eudicot;0;;2003;0;;;9-2-2013;2-1-2016;Import;Designer;1925;;;;;
8522;Asteraceae;Centaurea;tuberosa;;Vis.;22;2;FC:PI;Y;2.69;Siljak-Yakovev et al.; 2005 (Ref. 598);P;Eudicot;0;;2005;0;;;9-2-2013;31-12-2015;Import;Designer;84;;;;;
